,drug_labels,drug_rxcui,indications_label,indications_mondo,indications_umls
564,FOSRENOL|LANTHANUM CARBONATE.,234416,Hyperphosphataemia|Renal failure chronic,MONDO:0000328|MONDO:0024327,C0085681|C0022661
565,CYMBALTA|DULOXETINE|DULOXETINE 30 MG|DULOXETINE 60 MG|DULOXETINE HCL|DULOXETINE HYDROCHLORIDE|DULOXETINE HYDROCHLORIDE.|DULOXETINE.,72625,Depression|Fibromyalgia|Anxiety|Neuropathy peripheral|Diabetic neuropathy|Generalised anxiety disorder|Bipolar disorder|Osteoarthritis|Arthritis|Migraine|Post-traumatic stress disorder|Affective disorder|Anxiety disorder|Obsessive-compulsive disorder|Complex regional pain syndrome|Postpartum depression|Post herpetic neuralgia|Rheumatoid arthritis|Mental disorder,MONDO:0002050|MONDO:0005546|MONDO:0011918|MONDO:0020126|MONDO:0006626|MONDO:0001942|MONDO:0004985|MONDO:0008143|MONDO:0005578|MONDO:0008000|MONDO:0005146|MONDO:0005371|MONDO:0005618|MONDO:0008114|MONDO:0019369|MONDO:0005929|MONDO:0041052|MONDO:0008383|MONDO:0002025,C0011570|C0016053|C0003467|C0031117|C0011882|C0270549|C0005586|C0029408|C0003864|C0149931|C0038436|C0525045|C0003469|C0028768|C0458219|C0221074|C0032768|C0003873|C0004936
566,MYSOLINE|PRIMIDONE|PRIMIDONE.,8691,,,
567,ATOMOXETINE|ATOMOXETINE HYDROCHLORIDE|ATOMOXETINE HYDROCHLORIDE.|ATOMOXETINE.|STRATTERA,38400,Depression|Anxiety,MONDO:0002050|MONDO:0011918,C0011570|C0003467
568,ABILIFY|ARIPIPRAZOL|ARIPIPRAZOLE|ARIPIPRAZOLE 10 MG|Aripiprazole 15 mg|ARIPIPRAZOLE 5 MG|ARIPIPRAZOLE.,89013,"Schizophrenia|Bipolar disorder|Depression|Psychotic disorder|Schizoaffective disorder|Anxiety|Affective disorder|Autism|Autism spectrum disorder|Obsessive-compulsive disorder|Mental disorder|Post-traumatic stress disorder|Tourette's disorder|Schizophrenia, paranoid type|Dementia|Borderline personality disorder|Personality disorder|Tic|Asperger's disorder|Dementia Alzheimer's type",MONDO:0005090|MONDO:0004985|MONDO:0002050|MONDO:0005485|MONDO:0005487|MONDO:0011918|MONDO:0005371|MONDO:0005260|MONDO:0005260|MONDO:0008114|MONDO:0002025|MONDO:0005146|MONDO:0007661|MONDO:0001484|MONDO:0001627|MONDO:0001156|MONDO:0002028|MONDO:0002420|MONDO:0005259|MONDO:0004975,C0036341|C0005586|C0011570|C0033975|C0036337|C0003467|C0525045|C0004352|C1510586|C0028768|C0004936|C0038436|C0040517|C0036349|C0497327|C0006012|C0031212|C0040188|C0236792|C0002395
569,RANITIDIN|RANITIDINE|RANITIDINE HYDROCHLORIDE|RANITIDINE HYDROCHLORIDE.|RANITIDINE.|ZANTAC,9143,Dyspepsia|Gastrooesophageal reflux disease|Gastritis|Gastric disorder|Hiatus hernia|Gastric ulcer,MONDO:0002268|MONDO:0007186|MONDO:0004966|MONDO:0004298|MONDO:0007721|MONDO:0001126,C0013395|C0017168|C0017152|C0038354|C3489393|C0038358
570,CYCLOGYL|CYCLOPENTOLATE|CYCLOPENTOLATE HYDROCHLORIDE|CYCLOPENTOLATE HYDROCHLORIDE.|CYCLOPENTOLATE.,3001,,,
571,CYCLOPHOSPHAMIDE|CYCLOPHOSPHAMIDE.,3002,Chronic lymphocytic leukaemia|Breast cancer|Plasma cell myeloma|Diffuse large B-cell lymphoma,MONDO:0004948|MONDO:0007254|MONDO:0009693|MONDO:0018905,C0023434|C0006142|C0026764|C0079744
572,DULAGLUTIDE.|TRULICITY,1551291,Type 2 diabetes mellitus|Diabetes mellitus|Type 1 diabetes mellitus|Glucose tolerance impaired,MONDO:0015122|MONDO:0015122|MONDO:0009100|MONDO:0001076,C0011860|C0011849|C0011854|C0271650
573,OXYGEN|OXYGEN.,7806,,,
574,NUCYNTA|TAPENTADOL|TAPENTADOL HYDROCHLORIDE,787390,Fibromyalgia,MONDO:0005546,C0016053
575,BEZAFIBRATE,1525,,,
576,CICLOSPORIN|CYCLOSPORIN|CYCLOSPORIN A|CYCLOSPORINE|CYCLOSPORINE A|CYCLOSPORINE.|GENGRAF|NEORAL|RESTASIS|SANDIMMUN|SANDIMMUNE,3008,Psoriasis|Aplastic anaemia|Nephrotic syndrome|Interstitial lung disease|Dermatitis atopic|Chronic spontaneous urticaria|Graft versus host disease|Systemic lupus erythematosus|Aplasia pure red cell|Sjogren's syndrome|Dermatomyositis|Psoriatic arthropathy|Rheumatoid arthritis|Focal segmental glomerulosclerosis|Behcet's syndrome|Myelodysplastic syndrome|Myasthenia gravis|Glomerulonephritis membranous,MONDO:0005083|MONDO:0012197|MONDO:0005377|MONDO:0015925|MONDO:0011292|MONDO:0044212|MONDO:0013730|MONDO:0007915|MONDO:0020113|MONDO:0010030|MONDO:0016367|MONDO:0011849|MONDO:0008383|MONDO:0011303|MONDO:0007191|MONDO:0018881|MONDO:0009688|MONDO:0005376,C0033860|C0002874|C0027726|C0206062|C0011615|C0578870|C0018133|C0024141|C0034902|C1527336|C0011633|C0003872|C0003873|C0017668|C0004943|C3463824|C0026896|C0017665
577,VINCRISTINE|VINCRISTINE SULFATE|VINCRISTINE SULFATE.,11202,Acute lymphocytic leukaemia|Diffuse large B-cell lymphoma|B-cell lymphoma|Non-Hodgkin's lymphoma|Hodgkin's disease|T-cell type acute leukaemia|Ewing's sarcoma|Lymphoma|Medulloblastoma|Plasma cell myeloma|Chronic lymphocytic leukaemia|Burkitt's lymphoma,MONDO:0013108|MONDO:0018905|MONDO:0004095|MONDO:0011508|MONDO:0009348|MONDO:0020512|MONDO:0012817|MONDO:0005062|MONDO:0007959|MONDO:0009693|MONDO:0004948|MONDO:0007243,C0023449|C0079744|C0079731|C0024305|C0019829|C1961099|C0553580|C0024299|C0025149|C0026764|C0023434|C0006413
578,OLODATEROL|STRIVERDI RESPIMAT,1546059,Chronic obstructive pulmonary disease,MONDO:0011751,C0024117
579,NAROPEINE|NAROPIN|ROPIVACAINE|ROPIVACAINE HYDROCHLORIDE|ROPIVACAINE HYDROCHLORIDE.,35780,,,
580,CYPROHEPTADINE|CYPROHEPTADINE HYDROCHLORIDE.|CYPROHEPTADINE.,3013,,,
581,ISTODAX|ROMIDEPSIN|ROMIDEPSIN.,877510,Peripheral T-cell lymphoma unspecified|Mycosis fungoides|T-cell lymphoma,MONDO:0000430|MONDO:0009691|MONDO:0015760,C0079774|C0026948|C0079772
582,ACTOS|PIOGLITAZONE|PIOGLITAZONE HYDROCHLORIDE|PIOGLITAZONE HYDROCHLORIDE.|PIOGLITAZONE.,33738,Type 2 diabetes mellitus|Diabetes mellitus,MONDO:0015122|MONDO:0015122,C0011860|C0011849
583,Eribulin|ERIBULIN MESYLATE|HALAVEN,1045453,Breast cancer|Triple negative breast cancer|Leiomyosarcoma|Liposarcoma|Cervix carcinoma,MONDO:0007254|MONDO:0005494|MONDO:0005058|MONDO:0005060|MONDO:0016274,C0006142|C3539878|C0023269|C0023827|C0302592
584,CYSTAGON|CYSTARAN|CYSTEAMINE BITARTRATE|MERCAPTAMINE|MERCAPTAMINE BITARTRATE|PROCYSBI,3022,Corneal deposits,MONDO:0001308,C0162281
585,COZAAR,52175,Hypertension,MONDO:0005044,C0020538
586,CORLANOR|ivabradine,1649480,Cardiac failure|Cardiac failure congestive|Cardiomyopathy,MONDO:0005252|MONDO:0005009|MONDO:0004994,C0018801|C0018802|C0878544
587,ESTROPIPATE|ESTROPIPATE.|Ogen,33747,,,
588,CERDELGA|ELIGLUSTAT.,1547220,Gaucher's disease|Gaucher's disease type I,MONDO:0018150|MONDO:0009265,C0017205|C1961835
589,NOXAFIL|POSACONAZOLE,282446,Fungal infection|Aspergillus infection|Mucormycosis,MONDO:0015578|MONDO:0005657|MONDO:0019136,C0026946|C0004030|C0026718
590,Aromasil|Aromasin|Aromasine|EXEMESTANE|EXEMESTANE 25 MG|EXEMESTANE 25MG TAB|EXEMESTANE.,258494,Breast cancer|Neoplasm malignant|Invasive ductal breast carcinoma,MONDO:0007254|MONDO:0004992|MONDO:0004953,C0006142|C0006826|C1134719
591,ALENDRONATE|ALENDRONATE SODIUM|ALENDRONATE SODIUM.|ALENDRONIC ACID|BINOSTO|FOSAMAX,46041,Osteoporosis|Osteoporosis postmenopausal|Bone disorder|Rheumatoid arthritis|Osteoarthritis,MONDO:0005298|MONDO:0005298|MONDO:0005381|MONDO:0008383|MONDO:0008143,C0029456|C0029458|C0005940|C0003873|C0029408
592,DORIBAX|DORIPENEM,119771,,,
593,LANREOTIDE|LANREOTIDE ACETATE|SOMATULINE,68092,Acromegaly|Neuroendocrine tumour,MONDO:0019933|MONDO:0019496,C0001206|C0206754
594,ALECENSA|ALECTINIB|ALECTINIB.,1727455,Lung neoplasm malignant|Non-small cell lung cancer|Lung adenocarcinoma|Neoplasm malignant,MONDO:0008903|MONDO:0005233|MONDO:0008903|MONDO:0004992,C0242379|C0007131|C0152013|C0006826
595,Brivaracetam|BRIVIACT,1739745,Epilepsy,MONDO:0005027,C0014544
596,K-TAB|KLOR-CON|POTASSIUM CHLORIDE|POTASSIUM CHLORIDE INJECTION|POTASSIUM CHLORIDE ORAL SOLUTION|POTASSIUM CHLORIDE.,8591,,,
597,Bosulif|BOSUTINIB,1307619,Chronic myeloid leukaemia|Leukaemia|Neoplasm malignant|Myeloid leukaemia|Acute lymphocytic leukaemia,MONDO:0011996|MONDO:0005059|MONDO:0004992|MONDO:0004643|MONDO:0013108,C0023473|C0023418|C0006826|C0023470|C0023449
598,HALDOL|HALOPERIDOL|HALOPERIDOL DECANOATE|HALOPERIDOL DECANOATE.|HALOPERIDOL INJECTION|HALOPERIDOL LACTATE|HALOPERIDOL LACTATE.|HALOPERIDOL.,5093,"Schizophrenia|Psychotic disorder|Bipolar disorder|Schizoaffective disorder|Anxiety|Depression|Schizophrenia, paranoid type|Mental disorder",MONDO:0005090|MONDO:0005485|MONDO:0004985|MONDO:0005487|MONDO:0011918|MONDO:0002050|MONDO:0001484|MONDO:0002025,C0036341|C0033975|C0005586|C0036337|C0003467|C0011570|C0036349|C0004936
599,PHENYLBUTAZONE,8160,,,
600,CANDIDA ALBICANS|CANDIDA ALBICANS.,214355,,,
601,Methoxy Polyethylene Glycol-Epoetin Beta|METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA.|Mircera,729596,Anaemia|Renal failure chronic,MONDO:0002280|MONDO:0024327,C0002871|C0022661
602,FLUVASTATIN|LESCOL,41127,Hyperlipidaemia,MONDO:0013577,C0020473
603,Antivert|BONINE|MECLIZINE|MECLIZINE HYDROCHLORIDE|MECLIZINE HYDROCHLORIDE.,6676,,,
604,NEXAVAR|Sorafenib,495881,Hepatocellular carcinoma|Hepatic cancer|Renal cell carcinoma|Thyroid cancer|Renal cancer|Acute myeloid leukaemia|Hepatic neoplasm|Neoplasm malignant|Papillary thyroid cancer,MONDO:0007256|MONDO:0002691|MONDO:0005549|MONDO:0002108|MONDO:0002367|MONDO:0018874|MONDO:0002691|MONDO:0004992|MONDO:0008567,C2239176|C0345904|C0007134|C0007115|C0740457|C0023467|C0023903|C0006826|C0238463
605,Geodon|ZIPRASIDONE|ZIPRASIDONE HYDROCHLORIDE|ZIPRASIDONE HYDROCHLORIDE.|ZIPRASIDONE.,115698,Bipolar disorder|Schizophrenia|Psychotic disorder|Depression|Anxiety|Schizoaffective disorder,MONDO:0004985|MONDO:0005090|MONDO:0005485|MONDO:0002050|MONDO:0011918|MONDO:0005487,C0005586|C0036341|C0033975|C0011570|C0003467|C0036337
606,ANTITHYMOCYTE GLOBULIN,1011,,,
607,RANEXA|RANOLAZINE|RANOLAZINE.,35829,Coronary artery disease|Myocardial ischaemia,MONDO:0005010|MONDO:0005010,C1956346|C0151744
608,FOSINOPRIL|FOSINOPRIL SODIUM|FOSINOPRIL SODIUM.,50166,Hypertension,MONDO:0005044,C0020538
609,denosumab|PROLIA|XGEVA,993449,Osteoporosis|Osteoporosis postmenopausal|Bone disorder|Prostate cancer|Breast cancer|Senile osteoporosis|Osteoarthritis|Gastrooesophageal reflux disease|Rheumatoid arthritis|Bone giant cell tumour|Neoplasm malignant|Chronic kidney disease|Plasma cell myeloma|Pathological fracture|Lung neoplasm malignant|Oesophagitis|Non-small cell lung cancer|Bone cancer|Aneurysmal bone cyst|Hypercalcaemia|Fracture|Injury|Hyperparathyroidism|Hyperparathyroidism primary|Osteogenesis imperfecta|Gastrointestinal disorder|Chondropathy|Osteitis deformans|Hypothyroidism|Musculoskeletal disorder|Osteopetrosis|Osteomalacia|Breast neoplasm,MONDO:0005298|MONDO:0005298|MONDO:0005381|MONDO:0008315|MONDO:0007254|MONDO:0008159|MONDO:0008143|MONDO:0007186|MONDO:0008383|MONDO:0005674|MONDO:0004992|MONDO:0005300|MONDO:0009693|MONDO:0043606|MONDO:0008903|MONDO:0001409|MONDO:0005233|MONDO:0002129|MONDO:0011645|MONDO:0001566|MONDO:0005315|MONDO:0021178|MONDO:0001741|MONDO:0010837|MONDO:0019019|MONDO:0004335|MONDO:0005569|MONDO:0011183|MONDO:0015893|MONDO:0002081|MONDO:0017198|MONDO:0001068|MONDO:0015868,C0029456|C0029458|C0005940|C0376358|C0006142|C0029459|C0029408|C0017168|C0003873|C0206638|C0006826|C1561643|C0026764|C0016663|C0242379|C0014868|C0007131|C0279530|C0152244|C0020437|C0016658|C3263723|C0020502|C0221002|C0029434|C0017178|C0007302|C0029401|C0020676|C0026857|C0029454|C0029442|C1458155
610,BENZATHINE BENZYLPENICILLIN|BENZYLPENICILLIN|BENZYLPENICILLIN POTASSIUM|Bicillin L-A|PENICILLIN|PENICILLIN G|PENICILLIN G BENZATHINE|PENICILLIN G POTASSIUM|PENICILLIN G POTASSIUM.|Penicillin G Procaine|PENICILLIN G PROCAINE.|PENICILLIN G SODIUM|PENICILLIN G SODIUM.|PFIZERPEN,7980,,,
611,Droxidopa|NORTHERA,1489913,Orthostatic hypotension|Parkinson's disease|Autonomic neuropathy|Multiple system atrophy|Neurodegenerative disorder,MONDO:0007803|MONDO:0005180|MONDO:0001300|MONDO:0007803|MONDO:0015918,C0020651|C0030567|C0259749|C0393571|C0524851
612,BRINTELLIX|TRINTELLIX|Vortioxetine|VORTIOXETINE.,1455099,Depression|Anxiety|Bipolar disorder,MONDO:0002050|MONDO:0011918|MONDO:0004985,C0011570|C0003467|C0005586
613,LOVAZA|Omacor|OMEGA-3-ACID ETHYL ESTERS|OMEGA-3-ACID ETHYL ESTERS.,484348,Hyperlipidaemia|Myocardial infarction,MONDO:0013577|MONDO:0005068,C0020473|C0027051
614,TOFACITINIB|TOFACITINIB CITRATE|Xeljanz,1357536,Rheumatoid arthritis|Arthritis|Psoriasis|Psoriatic arthropathy|Colitis ulcerative|Alopecia|Alopecia areata|Crohn's disease|Alopecia universalis|Juvenile idiopathic arthritis|Polyarthritis|Osteoarthritis,MONDO:0008383|MONDO:0005578|MONDO:0005083|MONDO:0011849|MONDO:0005101|MONDO:0004907|MONDO:0005340|MONDO:0005011|MONDO:0007082|MONDO:0011429|MONDO:0024280|MONDO:0008143,C0003873|C0003864|C0033860|C0003872|C0009324|C0002170|C0002171|C0010346|C0263505|C3495559|C0162323|C0029408
615,GADOBUTROL|GADOBUTROL.,84990,,,
616,FRUSEMIDE|FUROSEMIDE|FUROSEMIDE 40 mg|FUROSEMIDE.|LASIX,4603,Hypertension|Cardiac failure|Cardiac failure congestive|Anuria|Cardiac disorder|Chronic kidney disease|Pulmonary oedema,MONDO:0005044|MONDO:0005252|MONDO:0005009|MONDO:0002476|MONDO:0005267|MONDO:0005300|MONDO:0006932,C0020538|C0018801|C0018802|C0003460|C0018799|C1561643|C0034063
617,ISENTRESS|RALTEGRAVIR|RALTEGRAVIR POTASSIUM|RALTEGRAVIR.,719872,HIV infection|Acquired immunodeficiency syndrome,MONDO:0005109|MONDO:0012268,C0019693|C0001175
618,ZINC CHLORIDE,39937,,,
619,BENADRYL|diphenhydramine|DIPHENHYDRAMINE HYDROCHLORIDE|DIPHENHYDRAMINE HYDROCHLORIDE.|DIPHENHYDRAMINE.|SIMPLY SLEEP|SOMINEX,3498,Hypersensitivity|Insomnia,MONDO:0005271|MONDO:0013600,C0020517|C0917801
620,NICORANDIL,31748,,,
621,Elaprase|Idursulfase,644101,Mucopolysaccharidosis II|Mucopolysaccharidosis,MONDO:0010674|MONDO:0019249,C0026705|C0026703
622,DARIFENACIN|DARIFENACIN HYDROBROMIDE.|DARIFENACIN.|ENABLEX,136198,,,
623,ATAZANAVIR|ATAZANAVIR SULFATE|ATAZANAVIR SULFATE.|ATAZANAVIR.|REYATAZ,343047,HIV infection,MONDO:0005109,C0019693
624,ORENITRAM|REMODULIN|TREPROSTINIL|TYVASO,343048,Pulmonary arterial hypertension|Pulmonary hypertension|Cor pulmonale chronic,MONDO:0015924|MONDO:0005149|MONDO:0001493,C2973725|C0020542|C0238074
625,DIMENHYDRINATE|DIMENHYDRINATE.|DRAMAMINE,3444,,,
626,vorapaxar|ZONTIVITY,1537034,,,
627,Clorazepate|CLORAZEPATE DIPOTASSIUM|CLORAZEPIC ACID|TRANXENE,2353,,,
628,EFFIENT|PRASUGREL|PRASUGREL HYDROCHLORIDE|PRASUGREL.,613391,Acute myocardial infarction|Acute coronary syndrome|Myocardial infarction|Coronary artery disease,MONDO:0004781|MONDO:0005542|MONDO:0005068|MONDO:0005010,C0155626|C0948089|C0027051|C1956346
629,TELBIVUDINE,474128,Chronic hepatitis B,MONDO:0005366,C0524909
630,APOKYN|APOMORPHINE|APOMORPHINE HYDROCHLORIDE,1043,Parkinson's disease,MONDO:0005180,C0030567
631,HELIUM|HELIUM.,5140,,,
632,COUMADIN|Jantoven|WARFARIN|WARFARIN SODIUM|WARFARIN SODIUM.,11289,Atrial fibrillation|Pulmonary embolism|Thrombosis|Cerebrovascular accident|Coagulopathy|Transient ischaemic attack|Atrial flutter|Cardiac disorder|Cardiac valve disease|Antiphospholipid syndrome|Coronary artery disease|Portal vein thrombosis|Ischaemic stroke|Peripheral vascular disorder,MONDO:0004981|MONDO:0005279|MONDO:0000831|MONDO:0005098|MONDO:0016627|MONDO:0005264|MONDO:0005310|MONDO:0005267|MONDO:0002869|MONDO:0007140|MONDO:0005010|MONDO:0019431|MONDO:0011057|MONDO:0005294,C0004238|C0034065|C0040053|C0038454|C0005779|C0007787|C0004239|C0018799|C0018824|C0085278|C1956346|C0155773|C0948008|C0085096
633,ANIDULAFUNGIN|Eraxis,341018,,,
634,DESIPRAMINE|DESIPRAMINE HYDROCHLORIDE|DESIPRAMINE HYDROCHLORIDE.|NORPRAMIN,3247,,,
635,ACTINOMYCIN D|COSMEGEN|DACTINOMYCIN,3100,Nephroblastoma,MONDO:0008679,C0027708
636,DANAZOL|DANAZOL.,3102,,,
637,DANTRIUM|DANTROLENE|DANTROLENE SODIUM.|DANTROLENE.,3105,,,
638,GENTAMICIN|GENTAMICIN SULFATE|GENTAMICIN SULFATE.|GENTAMICIN.|GENTAMYCIN,1596450,Endocarditis,MONDO:0000565,C0014118
639,BELSOMRA|SUVOREXANT.,1547099,Insomnia|Sleep disorder,MONDO:0013600|MONDO:0003406,C0917801|C0851578
640,Aczone|DAPSONE|DAPSONE.,3108,Acne,MONDO:0011438,C0702166
641,ALLI|Orlistat|ORLISTAT.|Xenical,37925,Obesity,MONDO:0011122,C0028754
642,EPCLUSA|SOFOSBUVIR/VELPATASVIR,1799211,Hepatitis C|Essential hypertension,MONDO:0005231|MONDO:0007781,C0019196|C0085580
643,ATROVENT,7213,Chronic obstructive pulmonary disease|Asthma|Emphysema,MONDO:0011751|MONDO:0004979|MONDO:0004849,C0024117|C0004096|C0034067
644,Arzerra|OFATUMUMAB,712566,Chronic lymphocytic leukaemia|Non-Hodgkin's lymphoma|B-cell lymphoma|Diffuse large B-cell lymphoma,MONDO:0004948|MONDO:0011508|MONDO:0004095|MONDO:0018905,C0023434|C0024305|C0079731|C0079744
645,Advil|CALDOLOR|IBU|IBUPROFEN|IBUPROFEN 200 MG|IBUPROFEN 400 MG|IBUPROFEN 800 MG|IBUPROFEN LYSINATE|IBUPROFEN LYSINE|IBUPROFEN SODIUM|IBUPROFEN SODIUM.|IBUPROFEN.|MOTRIN|NEOPROFEN,5640,Osteoarthritis|Arthritis|Migraine|Rheumatoid arthritis|Nasopharyngitis|Influenza|Pharyngitis|Gastroenteritis|Fibromyalgia|Sleep disorder|Tonsillitis|Sinusitis|Gout,MONDO:0008143|MONDO:0005578|MONDO:0008000|MONDO:0008383|MONDO:0001040|MONDO:0013855|MONDO:0002258|MONDO:0002269|MONDO:0005546|MONDO:0003406|MONDO:0001039|MONDO:0005961|MONDO:0005393,C0029408|C0003864|C0149931|C0003873|C0027441|C0021400|C0031350|C0017160|C0016053|C0851578|C0040425|C0037199|C0018099
646,IMPAVIDO|MILTEFOSINE,1494066,,,
647,DDAVP|DESMOPRESSIN|DESMOPRESSIN ACETATE|DESMOPRESSIN ACETATE.|DESMOTABS|OCTOSTIM|STIMATE,3251,Diabetes insipidus|Von Willebrand's disease|Factor VIII deficiency|Enuresis,MONDO:0004782|MONDO:0019565|MONDO:0010602|MONDO:0024290,C0011848|C0042974|C3494187|C0014394
648,CAFFEINE CITRATE|CAFFEINE CITRATE.|VIVARIN,1886,,,
649,Memantin|MEMANTINE|MEMANTINE HYDROCHLORIDE|MEMANTINE HYDROCHLORIDE.|MEMANTINE ORAL SOLUTION|MEMANTINE.|NAMENDA,6719,Dementia Alzheimer's type|Dementia|Amnesia|Vascular dementia,MONDO:0004975|MONDO:0001627|MONDO:0001152|MONDO:0004648,C0002395|C0497327|C0002622|C0011269
650,Corgard|NADOLOL|NADOLOL.,7226,Long QT syndrome,MONDO:0002442,C0023976
651,DEFEROXAMINE|DEFEROXAMINE MESILATE|DEFEROXAMINE MESYLATE|DEFEROXAMINE MESYLATE.|DESFERAL,3131,Iron overload|Thalassaemia beta|Thalassaemia|Myelodysplastic syndrome,MONDO:0016363|MONDO:0013517|MONDO:0000984|MONDO:0018881,C0282193|C0005283|C0039730|C3463824
652,NILANDRON|NILUTAMIDE|NILUTAMIDE.,31805,,,
653,REGADENOSON,640062,,,
654,Dificid|Fidaxomicin,1111103,Clostridium difficile infection,MONDO:0000705,C0343386
655,BICALUTAMIDE|BICALUTAMIDE.|CASODEX|COSUDEX,83008,Prostate cancer,MONDO:0008315,C0376358
656,ZOPICLONE,40001,,,
657,FESOTERODINE|TOVIAZ,797195,Bladder disorder,MONDO:0006026,C0005686
658,EVZIO|NALOXONE HYDROCHLORIDE|NALOXONE HYDROCHLORIDE.|NARCAN,7242,,,
659,NALTREXONE|NALTREXONE HYDROCHLORIDE|NALTREXONE HYDROCHLORIDE.|REVIA|VIVITROL,7243,Alcoholism|Drug dependence|Dependence|Drug abuse,MONDO:0007079|MONDO:0005303|MONDO:0004938|MONDO:0002491,C0001973|C1510472|C0439857|C0013146
660,DROSPIRENONE/ETHINYL ESTRADIOL|DROSPIRENONE\ETHINYL ESTRADIOL,840781,,,
661,PEG-INTRON|PEGINTERFERON ALFA-2B|PEGINTRON|SYLATRON|VIRAFERONPEG,253453,Hepatitis C|Malignant melanoma|Hepatic cirrhosis|Hepatitis,MONDO:0005231|MONDO:0005105|MONDO:0005155|MONDO:0002251,C0019196|C0025202|C0023890|C0019158
662,IODIXANOL|IODIXANOL.,27729,,,
663,Adrenaline|EPINEPHRINE|EPINEPHRINE.|EPINEPHRINE/LIDOCAINE|LIDOCAINE|LIDOCAINE HYDROCHLORIDE|LIDOCAINE HYDROCHLORIDE.|LIDOCAINE.|Lignocaine|XYLOCAINE WITH EPINEPHRINE,107602,Hypersensitivity|Food allergy|Ventricular tachycardia|Angioedema,MONDO:0005271|MONDO:0002497|MONDO:0005477|MONDO:0010481,C0020517|C0016470|C0042514|C0002994
664,EXELON|RIVASTIGMINE|RIVASTIGMINE TARTRATE.|RIVASTIGMINE TRANSDERMAL SYSTEM|RIVASTIGMINE.,183379,Dementia Alzheimer's type|Dementia|Parkinson's disease|Dementia with Lewy bodies,MONDO:0004975|MONDO:0001627|MONDO:0005180|MONDO:0007488,C0002395|C0497327|C0030567|C0752347
665,ACETAMINOPHEN/DIPHENHYDRAMINE|ACETAMINOPHEN\DIPHENHYDRAMINE|EXCEDRIN PM|Midol PM|TYLENOL PM,214181,Insomnia,MONDO:0013600,C0917801
666,CHOLBAM|CHOLIC ACID,1440856,,,
667,ALEVE|ANAPROX|MENSTRIDOL|MIDOL EXTENDED RELIEF|Naprelan|NAPROSYN|Naproxen|NAPROXEN 500 MG|NAPROXEN SODIUM|NAPROXEN SODIUM 220 MG|NAPROXEN SODIUM.|NAPROXEN.,7258,Arthritis|Migraine|Osteoarthritis|Rheumatoid arthritis|Gout|Fibromyalgia|Tendonitis|Bursitis|Epicondylitis,MONDO:0005578|MONDO:0008000|MONDO:0008143|MONDO:0008383|MONDO:0005393|MONDO:0005546|MONDO:0004857|MONDO:0002471|MONDO:0001875,C0003864|C0149931|C0029408|C0003873|C0018099|C0016053|C0039503|C0006444|C0014488
668,HALCION|TRIAZOLAM|TRIAZOLAM.,10767,Insomnia|Sleep disorder,MONDO:0013600|MONDO:0003406,C0917801|C0851578
669,ALMOTRIPTAN|ALMOTRIPTAN.|AXERT,279645,Migraine,MONDO:0008000,C0149931
670,ESOMEPRAZOLE|ESOMEPRAZOLE MAGNESIUM|ESOMEPRAZOLE MAGNESIUM.|ESOMEPRAZOLE SODIUM|ESOMEPRAZOLE SODIUM.|NEXIUM,283742,Gastrooesophageal reflux disease|Dyspepsia|Barrett's oesophagus|Hiatus hernia|Gastritis|Gastric disorder|Ulcer|Gastric ulcer|Gastrointestinal disorder|Peptic ulcer|Oesophagitis,MONDO:0007186|MONDO:0002268|MONDO:0013662|MONDO:0007721|MONDO:0004966|MONDO:0004298|MONDO:0043839|MONDO:0001126|MONDO:0004335|MONDO:0004247|MONDO:0001409,C0017168|C0013395|C0004763|C3489393|C0017152|C0038354|C0041582|C0038358|C0017178|C0030920|C0014868
671,Daypro|OXAPROZIN|OXAPROZIN.,32613,,,
672,CEFPROZIL|CEFPROZIL.,19552,,,
673,TETRAZEPAM,37985,,,
674,NATACYN|NATAMYCIN,7268,,,
675,PERFLUTREN,283753,,,
676,MYCOPHENOLATE|mycophenolate sodium,265323,,,
677,CLEMASTINE|CLEMASTINE FUMARATE.,2578,,,
